Timestep,a_0,a_1,b
4,-87.0000000000001,-58.655038664629274,1.3005946548291132e11
4,0.0,-26.756547362507554,1.3081021487246884e11
4,-87.0000000000001,-26.756547362507558,1.3112066482527806e11
4,0.0,-26.756547362507554,1.3096308103849539e11
4,-84.39549732659643,-33.362152149357485,1.3132953110769882e11
4,-87.00000000000009,-26.970678380895734,1.3137208818219476e11
4,-87.00000000000009,-26.970678380895745,1.313720881821948e11
4,-57.617845089210554,-38.291433889137,1.3136722289868695e11
4,-87.0000000000001,-50.45396518557934,1.3149421560947156e11
4,-30.682592829211494,-23.774055893818055,1.314843717813544e11
4,-87.0000000000001,-23.77405589381805,1.3162413316075928e11
4,-55.04163869084204,-23.84643198642083,1.3156612219241713e11
4,-65.67217188518933,-23.86038194776911,1.3159248190114972e11
4,-78.67070341683288,-50.92481524295485,1.3171567364189981e11
4,-87.0000000000001,-61.39512632142189,1.3175793336631528e11
4,-59.312143193376116,-30.791289486139256,1.3176056948572556e11
4,-87.00000000000007,-30.791289486139256,1.3181670464906516e11
4,-80.67295760093984,-30.791289486139256,1.318086199170694e11
4,-87.00000000000009,-30.791289486139252,1.318175017826019e11
4,-81.73910475507347,-30.791289486139252,1.3181140582934042e11
4,-86.32214087767902,-30.791289486139252,1.3181720391828265e11
4,-87.00000000000009,-30.791289486139252,1.3181877237088977e11
4,-80.60718818208431,-30.791289486139252,1.318107343851507e11
4,-87.00000000000007,-30.791289486139252,1.3181920118273712e11
4,-81.75502869693814,-30.791289486139252,1.3181349764136469e11
4,-85.86050439566651,-30.79355349395338,1.3181826004754904e11
4,-86.98908802266001,-34.29409288986695,1.3183154643947308e11
4,-87.0000000000001,-33.09943507447484,1.3182829653413506e11
4,-85.51073960390154,-32.91303142055782,1.3182808529665184e11
4,-87.00000000000009,-37.16364861420074,1.3185356468054904e11
4,-66.39447754173983,-33.77225468372145,1.317988263457147e11
4,-79.21340581701702,-34.60221909456045,1.3183196727357214e11
4,-66.55606155941283,-36.98056270831621,1.3182075608733537e11
4,-81.1461645847509,-34.22401193122432,1.3184324285810944e11
4,-87.00000000000009,-33.514384259325624,1.3184811781442055e11
4,-74.87124383121214,-35.15050161254725,1.31836101955438e11
4,-82.1390174861898,-38.96834001525599,1.3186255297932219e11
4,-87.00000000000007,-38.357986491075216,1.3186590730818411e11
4,-87.00000000000009,-35.938109612143684,1.3185944483714e11
4,-86.3822069393985,-37.50834906400452,1.3186438181455852e11
4,-83.98383032076198,-36.02277595237977,1.3185705286592177e11
4,-86.92355648326378,-40.46625750407291,1.3187407905800673e11
4,-87.0000000000001,-40.51077564280869,1.31878656286987e11
4,-60.876894931519125,-48.242768717491515,1.3183885245721036e11
4,-74.70741177850995,-36.412430056196875,1.3184331714144382e11
4,-78.46972079855438,-36.41507088259516,1.318537811235469e11
4,-72.07008158818769,-40.641571281948195,1.3185706142800356e11
4,-84.7148503023378,-40.78446834860075,1.3187966258404143e11
4,-86.65931468756762,-41.93799679378829,1.3188549182362135e11
4,-86.6593146875676,-42.94950061346409,1.3188917835835712e11
4,-86.99999961082506,-41.0870350691797,1.318847512836246e11
4,-70.56811106833474,-38.8105645143388,1.3185067644343323e11
4,-87.0000000000001,-34.68843898339101,1.3186217362021982e11
5,-150.0,-150.0,1.0794885000312915e11
5,0.0,0.0,1.0142990057957191e11
5,-18.98487865424614,0.0,1.2158768182101244e11
5,-102.67012216756358,-127.10317940652563,1.2217616557740135e11
5,-16.1588942249598,0.0,1.276664786901885e11
5,-87.0000000000001,-67.36154351038927,1.2783238591876605e11
5,-87.00000000000007,-121.15846314511069,1.2849404756642535e11
5,-87.0000000000001,-58.655038664629274,1.2819390968301674e11
5,-87.00000000000009,-26.756547362507554,1.2926038865162541e11
5,-87.0000000000001,-26.756547362507558,1.2926038865162543e11
5,0.0,-26.756547362507554,1.291666863545414e11
5,-84.3954973265964,-33.36215214935746,1.2946941083216486e11
5,-87.0000000000001,-26.970678380895734,1.2951176367250322e11
5,-29.96089581725273,-45.87915706388909,1.2945482756121104e11
5,-57.61784508921057,-38.291433889137,1.295226287057716e11
5,-87.00000000000007,-50.45396518557934,1.2962989719174454e11
5,-30.682592829211494,-23.774055893818055,1.2966121203294731e11
5,-87.00000000000009,-23.77405589381805,1.2976437522665825e11
5,-61.76137548025738,-23.86639780506987,1.297377882049185e11
5,-66.75101227275682,-23.858722400927515,1.2974610189615927e11
5,-81.95889407726771,-58.39132361316931,1.2987470902907684e11
5,-87.00000000000007,-61.395126321421934,1.2989197063097322e11
5,-59.31214319337611,-30.791289486139256,1.2991613483091809e11
5,-87.00000000000007,-30.791289486139256,1.2995571290583963e11
5,-70.08565564217454,-30.791289486139256,1.2993770187316347e11
5,-87.00000000000007,-30.791289486139252,1.2995651003937643e11
5,-80.32385533718879,-30.791289486139252,1.2995148033536382e11
5,-83.86490155926519,-30.791289486139252,1.299550184745117e11
5,-87.00000000000007,-30.791289486139252,1.2995778062766429e11
5,-82.90047293589652,-30.791289486139252,1.2995493439080548e11
5,-87.00000000000007,-30.791289486139252,1.2995820943951163e11
5,-66.32909390442933,-30.791289486139252,1.2993639958349393e11
5,-85.66212559321248,-30.803256384585357,1.299574645392436e11
5,-86.94335380961016,-35.26038348399872,1.2997198625040494e11
5,-87.00000000000007,-33.736164891946714,1.2996850834537778e11
