Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
55,2.371877243434796e6,4.697258463830395e6,0.0,0.0,0.0,0.0
56,2.3667539034347963e6,4.693796603417141e6,0.0,0.0,0.0,0.0
57,2.3609725634347964e6,4.693779749752055e6,0.0,0.0,0.0,0.0
58,2.355191223434796e6,4.6937628960869685e6,0.0,0.0,0.0,0.0
59,2.351718920230576e6,4.693025542450434e6,0.0,0.0,0.0,0.0
60,2.348246617026355e6,4.692288188813898e6,0.0,0.0,0.0,0.0
61,2.3420067770263553e6,4.689961642899545e6,0.0,0.0,0.0,0.0
62,2.335766937026355e6,4.687635096985193e6,0.0,0.0,0.0,0.0
63,2.337701437026355e6,4.684062247333653e6,0.0,0.0,0.0,0.0
64,2.339635937026355e6,4.680489397682113e6,0.0,0.0,0.0,0.0
65,2.3375255970263546e6,4.6779607149427235e6,0.0,0.0,0.0,0.0
66,2.335415257026355e6,4.675432032203335e6,0.0,0.0,0.0,0.0
67,2.341281257026355e6,4.674304666103769e6,0.0,0.0,0.0,0.0
68,2.347147257026355e6,4.673177300004204e6,0.0,0.0,0.0,0.0
69,2.340886917026355e6,4.67230477511657e6,0.0,0.0,0.0,0.0
70,2.3346265770263546e6,4.671432250228938e6,0.0,0.0,0.0,0.0
71,2.3282327370263543e6,4.668614003387426e6,0.0,0.0,0.0,0.0
72,2.3218388970263544e6,4.665795756545914e6,0.0,0.0,0.0,0.0
73,2.3140270570263546e6,4.660061406980027e6,0.0,0.0,0.0,0.0
74,2.3062152170263543e6,4.654327057414141e6,0.0,0.0,0.0,0.0
75,2.3068567170263543e6,4.648316784881563e6,0.0,0.0,0.0,0.0
76,2.3074982170263543e6,4.642306512348985e6,0.0,0.0,0.0,0.0
77,2.300348877026354e6,4.636414049622411e6,0.0,0.0,0.0,0.0
78,2.293199537026354e6,4.630521586895836e6,0.0,0.0,0.0,0.0
79,2.2890971970263543e6,4.625127645664136e6,0.0,0.0,0.0,0.0
80,2.284994857026354e6,4.619733704432436e6,0.0,0.0,0.0,0.0
81,2.290391357026354e6,4.615463296719037e6,0.0,0.0,0.0,0.0
82,2.295787857026354e6,4.611192889005638e6,0.0,0.0,0.0,0.0
83,2.300115857026354e6,4.607331095303586e6,0.0,0.0,0.0,0.0
84,2.304443857026354e6,4.603469301601533e6,0.0,0.0,0.0,0.0
85,2.2985905170263536e6,4.5993346851908425e6,0.0,0.0,0.0,0.0
86,2.292737177026354e6,4.595200068780152e6,0.0,0.0,0.0,0.0
87,2.295565177026354e6,4.590461522100795e6,0.0,0.0,0.0,0.0
88,2.298393177026354e6,4.585722975421437e6,0.0,0.0,0.0,0.0
89,2.295459337026354e6,4.583199873146543e6,0.0,0.0,0.0,0.0
90,2.2925254970263536e6,4.5806767708716495e6,0.0,0.0,0.0,0.0
91,2.2981664970263536e6,4.580090709828086e6,0.0,0.0,0.0,0.0
92,2.3038074970263536e6,4.579504648784523e6,0.0,0.0,0.0,0.0
93,2.2970581570263533e6,4.58042035274169e6,0.0,0.0,0.0,0.0
94,2.2903088170263534e6,4.581336056698858e6,0.0,0.0,0.0,0.0
95,2.2849550526490184e6,4.578692664411519e6,0.0,0.0,0.0,0.0
96,2.279601288271683e6,4.57604927212418e6,0.0,0.0,0.0,0.0
97,2.280505788271683e6,4.57023183564248e6,0.0,0.0,0.0,0.0
98,2.281410288271683e6,4.564414399160781e6,0.0,0.0,0.0,0.0
99,2.282159288271683e6,4.558421488073299e6,0.0,0.0,0.0,0.0
100,2.282908288271683e6,4.552428576985816e6,0.0,0.0,0.0,0.0
101,2.284801288271683e6,4.547004873276809e6,0.0,0.0,0.0,0.0
102,2.286694288271683e6,4.541581169567804e6,0.0,0.0,0.0,0.0
103,2.2839569482716825e6,4.539265784582442e6,0.0,0.0,0.0,0.0
104,2.2812196082716826e6,4.536950399597079e6,0.0,0.0,0.0,0.0
105,2.278048768271683e6,4.538827183550585e6,0.0,0.0,0.0,0.0
106,2.2748779282716825e6,4.540703967504092e6,0.0,0.0,0.0,0.0
107,2.2796044282716825e6,4.541713299254451e6,0.0,0.0,0.0,0.0
108,2.2843309282716825e6,4.54272263100481e6,0.0,0.0,0.0,0.0
109,2.2876654282716825e6,4.54228972270905e6,0.0,0.0,0.0,0.0
