Timestep,Import_FR_MW,Import_PT_MW
203,2800.0,-4200.0
204,2800.0,-4200.0
205,2800.0,-4200.0
206,1832.403350463257,-4200.0
207,1832.403350463257,-4200.0
208,-2069.1201726858,-4114.8112570425
209,-2069.1201726858,-4114.8112570425
210,-2800.0,-1685.8504026637502
211,-2800.0,-1685.8504026637502
212,-2039.7838931351816,-4200.0
213,-2039.7838931351816,-4200.0
214,-2800.0,698.6193360835005
215,-2800.0,698.6193360835005
216,2800.0,-3342.9430092569996
217,2800.0,-3342.9430092569996
218,2800.0,303.79346705450007
219,2800.0,303.79346705450007
220,-1569.1709159133552,599.6011165392501
221,-1569.1709159133552,599.6011165392501
222,-2800.0,-2984.75849820275
223,-2800.0,-2984.75849820275
224,-2800.0,-1287.4990937502494
225,-2800.0,-1287.4990937502494
226,-2800.0,-4200.0
227,-2800.0,-4200.0
228,-1905.0382643917,-4200.0
229,-1905.0382643917,-4200.0
230,-1846.201425561656,-4200.0
231,-1846.201425561656,-4200.0
232,-2800.0,-3243.785418993555
233,-2800.0,-3243.785418993555
234,-2800.0,-4200.0
235,-2800.0,-4200.0
236,-2800.0,-4200.0
237,-2800.0,-4200.0
238,-2773.898140797284,-552.8900365430709
239,-2773.898140797284,-552.8900365430709
240,1589.741093128143,-2282.21241646175
241,1589.741093128143,-2282.21241646175
242,2800.0,-3505.414567748
243,2800.0,-3505.414567748
244,1488.7537056898236,-3463.217627136
245,1488.7537056898236,-3463.217627136
246,-2800.0,-3799.2359940962497
247,-2800.0,-3799.2359940962497
248,-2800.0,-4200.0
249,-2800.0,-4200.0
250,-2800.0,-4200.0
251,-2800.0,-4200.0
252,-2800.0,-4200.0
253,-2800.0,-4200.0
254,-2800.0,-4200.0
255,-2800.0,-4200.0
256,-2800.0,-4200.0
257,-2800.0,-4200.0
258,-2800.0,-1759.9564966087505
259,-2800.0,-1759.9564966087505
260,-2800.0,-4200.0
261,-2800.0,-4200.0
262,-2800.0,-458.33392395100054
263,-2800.0,-458.33392395100054
264,1583.7109298785635,-4200.0
265,1583.7109298785635,-4200.0
266,2800.0,-4200.0
267,2800.0,-4200.0
268,-1994.9567938764976,-4200.0
269,-1994.9567938764976,-4200.0
270,-2800.0,-1526.03309897375
271,-2800.0,-1526.03309897375
272,-2800.0,-580.0679312619995
273,-2800.0,-580.0679312619995
274,-2800.0,-4200.0
275,-2800.0,-4200.0
276,-2800.0,-4200.0
277,-2800.0,-4200.0
278,-2800.0,-4200.0
279,-2800.0,-4200.0
280,-2800.0,-3641.0137823642494
281,-2800.0,-3641.0137823642494
282,-2800.0,-721.5014756437499
283,-2800.0,-721.5014756437499
284,-2800.0,-2113.3513501304997
285,-2800.0,-2113.3513501304997
286,-2484.1562507115977,-2924.6319433152503
287,-2484.1562507115977,-2924.6319433152503
288,2800.0,-2919.706327405116
289,2800.0,-2919.706327405116
290,2800.0,-2187.74819468825
291,2800.0,-2187.74819468825
292,1863.465098545118,-1568.3612533767491
293,1863.465098545118,-1568.3612533767491
294,-2800.0,-1525.3284447162505
295,-2800.0,-1525.3284447162505
296,-2800.0,-2089.5273714465
297,-2800.0,-2089.5273714465
298,-2800.0,-1851.7997991079992
299,-2800.0,-1851.7997991079992
300,-2800.0,-2902.476513290181
301,-2800.0,-2902.476513290181
302,-2800.0,-2690.97900100075
303,-2800.0,-2690.97900100075
304,-2800.0,-988.0337301606487
305,-2800.0,-988.0337301606487
306,-2800.0,-4200.0
307,-2800.0,-4200.0
308,-2800.0,-2690.4449482082455
309,-2800.0,-2690.4449482082455
310,-2800.0,-2579.566247902
311,-2800.0,-2579.566247902
312,-2800.0,-1016.5432669498805
313,-2800.0,-1016.5432669498805
314,-2800.0,-1449.3934266447504
315,-2800.0,-1449.3934266447504
316,-2800.0,-2053.8506240817496
317,-2800.0,-2053.8506240817496
318,-2800.0,-2977.45830411125
319,-2800.0,-2977.45830411125
320,-2800.0,-3062.5925470609727
321,-2800.0,-3062.5925470609727
322,-2800.0,-4200.0
323,-2800.0,-4200.0
324,-2800.0,-4200.0
325,-2800.0,-4200.0
326,-2800.0,-4200.0
327,-2800.0,-4200.0
328,-2800.0,-4200.0
329,-2800.0,-4200.0
330,-2800.0,-4133.179612342
331,-2800.0,-4133.179612342
332,-2800.0,-1151.3775156402498
333,-2800.0,-1151.3775156402498
334,-2800.0,-3876.8578886865
335,-2800.0,-3876.8578886865
336,-2800.0,-1496.1938749815
337,-2800.0,-1496.1938749815
338,-2800.0,-1235.111366816327
339,-2800.0,-1235.111366816327
340,-2800.0,-3129.057617838196
341,-2800.0,-3129.057617838196
342,-2800.0,-947.9869459485008
343,-2800.0,-947.9869459485008
344,-2800.0,-4200.0
345,-2800.0,-4200.0
346,-2800.0,-2198.840237469798
347,-2800.0,-2198.840237469798
348,-2800.0,-4200.0
349,-2800.0,-4200.0
350,-2800.0,-4200.0
351,-2800.0,-4200.0
352,-2800.0,-4200.0
353,-2800.0,-4200.0
354,-2800.0,-4200.0
355,-2800.0,-4200.0
356,-2800.0,-936.1294765767507
357,-2800.0,-936.1294765767507
358,-2800.0,-2584.19555542175
359,-2800.0,-2584.19555542175
360,-2800.0,-895.3907502900001
361,-2800.0,-895.3907502900001
362,-2800.0,1222.9842630690237
363,-2800.0,1222.9842630690237
364,-2800.0,-1568.4542357762502
365,-2800.0,-1568.4542357762502
366,-2800.0,522.125546798261
367,-2800.0,522.125546798261
368,-2800.0,168.434897956
369,-2800.0,168.434897956
370,-2800.0,-1057.956918149
371,-2800.0,-1057.956918149
372,-2800.0,-4200.0
373,-2800.0,-4200.0
374,-2800.0,356.41010488100073
375,-2800.0,356.41010488100073
376,-2800.0,537.8848575472493
377,-2800.0,537.8848575472493
378,-2800.0,-324.94799793949915
379,-2800.0,-324.94799793949915
380,-2800.0,1151.4976100325002
381,-2800.0,1151.4976100325002
382,-2800.0,1934.7264344449995
383,-2800.0,1934.7264344449995
384,-2800.0,-190.39150551725106
385,-2800.0,-190.39150551725106
386,-2800.0,1811.7905982542306
387,-2800.0,1811.7905982542306
388,-2800.0,-86.15802214924952
389,-2800.0,-86.15802214924952
390,-2800.0,-1341.0959003184998
391,-2800.0,-1341.0959003184998
392,-2800.0,-3100.01122482875
393,-2800.0,-3100.01122482875
394,-2800.0,-3444.7290861875445
395,-2800.0,-3444.7290861875445
396,-2800.0,-4200.0
397,-2800.0,-4200.0
398,-2800.0,-4200.0
399,-2800.0,-4200.0
400,-2800.0,-4200.0
401,-2800.0,-4200.0
402,-2800.0,-3214.843054613455
403,-2800.0,-3214.843054613455
404,-2800.0,-4200.0
405,-2800.0,-4200.0
406,-2800.0,-2197.070277162
407,-2800.0,-2197.070277162
408,-2800.0,-4200.0
409,-2800.0,-4200.0
