Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
672,0.0,1206.9804940305185,62244.85880190134
673,0.0,1206.9804940305185,62244.85880190134
674,0.0,0.0,51712.98128955276
675,0.0,0.0,51712.98128955276
676,0.0,0.0,56481.506098385704
677,0.0,0.0,56481.506098385704
678,0.0,8787.34,70364.3
679,0.0,8787.34,70364.3
680,0.0,8787.34,70364.3
681,0.0,8787.34,70364.3
682,0.0,7426.139581872918,70364.3
683,0.0,7426.139581872918,70364.3
684,0.0,4036.38051862873,70364.3
685,0.0,4036.38051862873,70364.3
686,0.0,3784.7407826561193,70364.3
687,0.0,3784.7407826561193,70364.3
688,0.0,7390.961433784032,70364.3
689,0.0,7390.961433784032,70364.3
690,0.0,8787.34,70364.3
691,0.0,8787.34,70364.3
692,0.0,6016.717921175348,70364.3
693,0.0,6016.717921175348,70364.3
694,0.0,0.0,50180.04362333972
695,0.0,0.0,50180.04362333972
696,0.0,0.0,25178.593138954893
697,0.0,0.0,25178.593138954893
698,0.0,0.0,13923.82724297134
699,0.0,0.0,13923.82724297134
700,0.0,0.0,14747.927031488041
701,0.0,0.0,14747.927031488041
702,0.0,0.0,27068.45835130415
703,0.0,0.0,27068.45835130415
704,0.0,0.0,37902.072672645
705,0.0,0.0,37902.072672645
706,0.0,0.0,35956.028501526496
707,0.0,0.0,35956.028501526496
708,0.0,0.0,42824.40418154553
709,0.0,0.0,42824.40418154553
710,0.0,0.0,68365.73068674168
711,0.0,0.0,68365.73068674168
712,0.0,4358.309536070612,70364.3
713,0.0,4358.309536070612,70364.3
714,245.8125958593282,8787.34,70364.3
715,245.8125958593282,8787.34,70364.3
716,5069.793996724928,7122.65929495817,70364.3
717,5069.793996724928,7122.65929495817,70364.3
718,6000.574777890608,8787.34,57499.72387932754
719,6000.574777890608,8787.34,57499.72387932754
720,469.56686434336734,0.0,51091.018497807236
721,469.56686434336734,0.0,51091.018497807236
722,0.0,0.0,53124.02368490402
723,0.0,0.0,53124.02368490402
724,0.0,8787.34,70364.3
725,0.0,8787.34,70364.3
726,0.0,8787.34,70364.3
727,0.0,8787.34,70364.3
728,0.0,8787.34,70364.3
729,0.0,8787.34,70364.3
730,1229.419724229182,8787.34,70364.3
731,1229.419724229182,8787.34,70364.3
732,0.0,8787.34,70364.3
733,0.0,8787.34,70364.3
734,0.0,8787.34,70364.3
735,0.0,8787.34,70364.3
736,3214.9303249404147,8787.34,70364.3
737,3214.9303249404147,8787.34,70364.3
738,0.0,8787.34,70364.3
739,0.0,8787.34,70364.3
740,6940.97,8787.34,70364.3
741,6940.97,8787.34,70364.3
742,6940.97,8787.34,70364.3
743,6940.97,8787.34,70364.3
744,4713.417561213713,8787.34,70364.3
745,4713.417561213713,8787.34,70364.3
746,0.0,8787.34,70364.3
747,0.0,8787.34,70364.3
748,0.0,8787.34,70364.3
749,0.0,8787.34,70364.3
750,0.0,8787.34,70364.3
751,0.0,8787.34,70364.3
752,0.0,8787.34,70364.3
753,0.0,8787.34,70364.3
754,0.0,8787.34,70364.3
755,0.0,8787.34,70364.3
756,0.0,8787.34,70364.3
757,0.0,8787.34,70364.3
758,0.0,8787.34,70364.3
759,0.0,8787.34,70364.3
760,0.0,8787.34,70364.3
761,0.0,8787.34,70364.3
762,6413.725319975496,8787.34,70364.3
763,6413.725319975496,8787.34,70364.3
764,0.0,8787.34,70364.3
765,0.0,8787.34,70364.3
766,6940.97,8787.34,70364.3
767,6940.97,8787.34,70364.3
768,0.0,8787.34,70364.3
